pond,family,id,sex
5,1,1,m
5,1,2,f
5,1,2,f
5,1,3,m
5,1,3,m
5,1,4,m
5,1,4,m
5,1,5,f
5,1,6,m
5,1,7,f
5,1,8,m
5,1,9,m
5,1,10,f
5,1,11,f
5,1,12,f
5,1,13,f
5,1,14,m
5,1,15,f
5,1,16,f
5,1,17,f
5,1,18,f
5,1,19,m
5,1,20,f
5,1,21,m
5,1,22,f
5,2,1,f
5,2,2,m
5,2,3,f
5,2,4,m
5,2,5,m
5,2,6,m
5,2,7,m
5,2,8,m
5,2,9,f
5,2,10,f
5,2,11,f
5,2,12,m
5,2,13,f
5,2,14,f
5,2,15,m
5,2,16,m
5,2,17,m
5,2,18,m
5,2,19,f
5,2,20,f
5,2,21,f
5,2,22,f
5,2,23,f
5,2,24,f
5,2,25,f
6,1,1,f
6,2,1,m
6,2,2,f
6,2,3,m
6,2,4,m
6,2,5,f
6,2,6,m
6,2,7,f
6,2,8,f
6,2,9,f
6,2,10,m
6,2,11,m
6,2,12,m
6,2,13,f
6,2,14,m
6,2,15,m
6,2,15,m
6,2,16,m
7,1,1,f
7,1,2,f
7,1,3,f
7,1,4,f
7,1,5,f
7,1,6,f
7,1,7,f
7,1,8,f
7,1,9,f
7,1,10,m
7,1,11,m
7,1,12,f
7,1,13,f
7,1,14,f
7,1,15,f
7,1,16,f
7,1,17,m
7,1,18,f
7,1,19,m
7,1,20,f
7,1,21,f
7,1,22,m
7,1,23,m
7,1,24,f
7,1,25,m
7,1,26,m
7,1,27,m
7,1,28,f
7,1,30,m
7,1,31,f
7,2,1,f
7,2,2,m
7,2,3,m
7,2,4,f
7,2,5,f
7,2,6,f
7,2,7,f
7,2,8,f
7,2,9,f
7,2,10,m
7,3,1,f
7,3,2,f
7,3,3,f
8,1,1,f
8,1,2,f
8,1,3,m
8,1,4,m
8,1,5,f
8,1,6,m
8,1,7,f
8,1,8,m
8,1,9,f
8,1,10,m
8,1,11,f
8,1,12,f
8,1,13,m
8,1,14,m
8,1,15,f
8,1,16,f
8,2,1,f
8,2,2,f
8,2,3,f
8,2,4,f
8,2,5,m
8,2,6,m
8,2,7,m
8,2,8,m
8,2,9,f
8,2,10,m
8,2,11,m
8,2,12,f
9,1,1,f
9,1,2,m
9,1,3,m
9,1,4,f
9,1,5,m
9,1,6,f
9,1,7,m
9,1,8,f
9,1,9,m
9,1,10,m
9,1,11,f
9,1,12,f
9,1,13,m
9,1,14,f
9,1,15,f
9,1,16,m
9,2,1,f
9,2,2,f
9,2,3,f
9,2,5,f
9,2,6,m
9,2,7,f
9,2,8,f
9,2,9,m
9,2,10,m
9,2,11,m
9,2,12,m
9,2,13,m
9,2,14,m
9,2,15,f
9,2,16,f
9,2,17,f
9,2,18,f
9,2,19,m
9,2,20,m
9,2,21,m
9,2,4,m
10,1,1,f
10,1,2,f
10,1,3,f
10,1,4,m
10,1,5,f
10,1,6,f
10,2,1,m
11,1,1,m
11,1,2,m
11,1,3,f
11,1,4,m
11,1,5,f
11,1,6,f
11,1,7,f
11,1,8,f
11,1,9,f
11,1,10,m
11,1,11,m
11,1,12,f
11,1,13,f
11,1,14,f
11,1,15,f
11,1,17,f
11,1,18,m
11,1,19,m
11,1,20,m
11,1,22,f
12,1,1,f
12,1,2,m
12,1,3,f
12,1,4,f
12,1,6,f
12,1,7,f
12,1,8,m
12,1,9,f
12,1,10,f
12,1,?,f
12,2,1,m
12,2,2,f
12,2,3,m
12,2,4,m
13,1,1,f
13,1,2,m
13,1,3,f
13,1,4,f
13,1,5,f
13,1,6,f
13,2,1,m
13,2,2,m
13,2,3,f
13,2,4,f
13,2,5,f
13,2,6,f
13,2,7,m
13,2,8,m
13,2,9,f