image_id,type,sex,id,date_coll,date_photo,std_length_px,1cm_px,std_len
1,lim,F,15,01-May,06-Jul,624.584,177,3.528723164
2,lim,F,14,01-May,06-Jul,579.07,177.025,3.271119898
3,lim,F,13,01-May,06-Jul,657.986,186.024,3.537102739
4,lim,F,12,01-May,06-Jul,775.307,195.023,3.975464432
5,lim,F,11,01-May,06-Jul,664.146,189,3.514
6,lim,M,15,01-May,06-Jul,732.743,186.024,3.93897024
7,lim,M,14,01-May,06-Jul,780.006,174.103,4.480141066
8,lim,M,13,01-May,06-Jul,751.013,162,4.635882716
9,lim,M,12,01-May,06-Jul,762.006,171.026,4.455497994
10,lim,M,11,01-May,06-Jul,702.16,162.028,4.333571975
11,ben,M,10,01-May,06-Jul,870.419,159,5.474333333
12,ben,M,9,01-May,06-Jul,855.189,156,5.481980769
13,ben,M,8,01-May,06-Jul,801.275,156.029,5.135423543
14,ben,M,7,01-May,06-Jul,777.469,159.028,4.888881203
15,ben,M,6,01-May,06-Jul,786,153,5.137254902
16,ben,F,1,01-May,06-Jul,870.745,180.025,4.836800444
17,ben,F,2,01-May,06-Jul,864.526,162,5.336580247
18,ben,F,3,01-May,06-Jul,1026.281,201.022,5.105316831
19,ben,F,4,01-May,06-Jul,816.006,162.028,5.036203619
20,ben,F,5,01-May,06-Jul,1165.87,174.026,6.699401239
21,ben,F,6,01-May,06-Jul,987.223,171,5.773233918
22,ben,F,7,01-May,06-Jul,1089.698,162,6.726530864
23,ben,F,8,01-May,06-Jul,1031.73,183,5.637868852
24,ben,F,9,01-May,06-Jul,1026.531,162.028,6.335516084
25,ben,F,10,01-May,06-Jul,1015.437,159.028,6.385271776
26,ben,M,11,01-May,06-Jul,869.741,165,5.271157576
27,ben,M,12,01-May,06-Jul,820.076,177.025,4.632543426
28,ben,M,13,01-May,06-Jul,1407.029,192,7.328276042
29,ben,M,14,01-May,06-Jul,1155.097,174,6.638488506
30,ben,M,15,01-May,06-Jul,916.106,186,4.925301075
31,ben,F,11,01-May,06-Jul,1033.116,159,6.497584906
32,ben,F,12,01-May,06-Jul,903.717,153,5.906647059
33,ben,F,13,01-May,06-Jul,834.135,156.029,5.346025418
34,ben,F,14,01-May,06-Jul,839.368,165.027,5.086246493
35,ben,F,15,01-May,06-Jul,810.672,159.028,5.097668335
36,ben,M,5,01-May,06-Jul,1003.795,189.024,5.310410318
37,ben,M,4,01-May,06-Jul,903.717,162.028,5.577535981
38,ben,M,3,01-May,06-Jul,978.166,186,5.258956989
39,ben,M,2,01-May,06-Jul,921.02,186.024,4.951081581
40,ben,M,1,01-May,06-Jul,936.389,180,5.202161111
41,lim,M,10,01-May,06-Jul,801.09,204.088,3.925218533
42,lim,M,9,01-May,06-Jul,792.091,180.025,4.399894459
43,lim,M,8,01-May,06-Jul,774.023,177.025,4.37239373
44,lim,M,7,01-May,06-Jul,783.006,174,4.500034483
45,lim,M,6,01-May,06-Jul,855.084,195.023,4.384529004
46,lim,M,5,01-May,06-Jul,906.005,198.023,4.57525136
47,lim,M,4,01-May,06-Jul,852.005,192.023,4.436994527
48,lim,M,3,01-May,06-Jul,804.006,195.023,4.122621434
49,lim,M,2,01-May,06-Jul,924.019,189,4.888989418
50,lim,M,1,01-May,06-Jul,855.426,204,4.193264706
51,lim,F,10,01-May,06-Jul,858.336,210.021,4.086905595
52,lim,F,9,01-May,06-Jul,942.478,213.021,4.42434314
53,lim,F,8,01-May,06-Jul,843.534,222.02,3.799360418
54,lim,F,7,01-May,06-Jul,876.082,306,2.863013072
55,lim,F,6,01-May,06-Jul,897.246,237.076,3.784634463
56,lim,F,5,01-May,06-Jul,792,225,3.52
57,lim,F,4,01-May,06-Jul,759.053,219.021,3.46566311
58,lim,F,3,01-May,06-Jul,681.324,198.023,3.440630634
59,lim,F,2,01-May,06-Jul,765.711,210.086,3.644750245
60,lim,F,1,01-May,06-Jul,774,228.079,3.393561003